Time(DD/MM/YYYY H:mm:ss),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
2026-01-16 07:34:19,1237,13.8,79,999.3
2026-01-16 07:39:19,1269,13.9,79,999.4
2026-01-16 07:44:19,1284,13.9,79,999.5
2026-01-16 07:49:19,1272,13.9,79,999.6
2026-01-16 07:54:19,1163,13.9,79,999.7
2026-01-16 07:59:19,1230,13.8,79,999.7
2026-01-16 08:04:19,1188,13.8,79,999.8
2026-01-16 08:09:19,1254,13.8,79,999.8
2026-01-16 08:14:19,1211,13.8,79,999.8
2026-01-16 08:19:19,1265,13.8,79,999.9
2026-01-16 08:24:19,1248,13.8,79,1000.0
2026-01-16 08:29:19,1171,13.8,79,1000.2
2026-01-16 08:34:19,1206,13.9,80,1000.3
2026-01-16 08:39:19,1098,14.2,78,1000.3
2026-01-16 08:44:19,1189,15.7,79,1000.2
2026-01-16 08:49:19,1111,17.1,76,1000.4
2026-01-16 08:54:19,1073,17.9,74,1000.5
2026-01-16 08:59:19,1063,18.4,74,1000.6
2026-01-16 09:04:19,1015,18.8,73,1000.7
2026-01-16 09:09:19,973,18.9,73,1000.7
2026-01-16 09:14:19,974,18.8,74,1000.7
2026-01-16 09:19:19,972,18.6,74,1000.8
2026-01-16 09:24:19,961,18.6,74,1001.0
2026-01-16 09:29:19,967,18.4,75,1001.1
2026-01-16 09:34:19,906,18.2,73,1001.0
2026-01-16 09:39:19,952,17.9,74,1001.1
2026-01-16 09:44:19,955,17.8,74,1001.1
2026-01-16 09:49:19,935,17.7,74,1001.2
2026-01-16 09:54:19,938,17.7,73,1001.3
2026-01-16 09:59:19,954,17.5,73,1001.3
2026-01-16 10:04:19,927,17.4,73,1001.3
2026-01-16 10:09:19,937,17.3,73,1001.3
2026-01-16 10:14:19,954,17.3,73,1001.4
2026-01-16 10:19:19,959,17.2,73,1001.5
2026-01-16 10:24:19,1038,17.2,74,1001.6
2026-01-16 10:29:19,1078,17.2,74,1001.6
2026-01-16 10:34:19,1063,17.2,74,1001.8
2026-01-16 10:39:19,1074,17.1,74,1001.9
2026-01-16 10:44:19,1078,17.1,74,1001.8
2026-01-16 10:49:19,1086,16.9,74,1001.8
2026-01-16 10:54:19,1074,16.9,74,1001.8
2026-01-16 10:59:19,1053,16.9,74,1001.8
2026-01-16 11:04:19,1057,16.9,74,1001.8
2026-01-16 11:09:19,1038,16.9,74,1001.8
2026-01-16 11:14:19,1039,17.0,74,1001.6
2026-01-16 11:19:19,1039,17.0,74,1001.7
2026-01-16 11:24:19,1035,17.1,74,1001.7
2026-01-16 11:29:19,1020,17.1,74,1001.8
2026-01-16 11:34:19,1021,17.1,74,1001.9
2026-01-16 11:39:19,1000,17.1,74,1001.9
2026-01-16 11:44:19,1009,17.1,74,1002.0
2026-01-16 11:49:19,1010,17.0,74,1001.9
2026-01-16 11:54:19,1003,16.9,74,1001.9
2026-01-16 11:59:19,998,16.9,74,1001.9
2026-01-16 12:04:19,1006,16.9,74,1001.8
2026-01-16 12:09:19,987,16.9,74,1001.9
2026-01-16 12:14:19,985,16.9,74,1001.9
2026-01-16 12:19:19,976,16.9,74,1001.9
2026-01-16 12:24:19,974,16.9,74,1001.9
2026-01-16 12:29:19,962,16.8,74,1001.9
2026-01-16 12:34:19,962,16.8,74,1001.9
2026-01-16 12:39:19,960,16.7,74,1001.8
2026-01-16 12:44:19,953,16.7,74,1001.8
2026-01-16 12:49:19,952,16.8,74,1002.0
2026-01-16 12:54:19,942,16.8,74,1001.9
2026-01-16 12:59:19,934,16.8,74,1002.0
2026-01-16 13:04:19,940,16.8,74,1002.0
2026-01-16 13:09:19,917,16.8,74,1001.9
2026-01-16 13:14:19,912,16.8,74,1002.0
2026-01-16 13:19:19,906,16.7,74,1001.9
2026-01-16 13:24:19,914,16.7,74,1002.0
2026-01-16 13:29:19,896,16.7,74,1002.0
2026-01-16 13:34:19,897,16.7,74,1002.1
2026-01-16 13:39:19,898,16.7,74,1001.9
2026-01-16 13:44:19,885,16.6,74,1002.0
2026-01-16 13:49:19,886,16.6,74,1002.0
2026-01-16 13:54:19,895,16.6,74,1002.1
2026-01-16 13:59:19,876,16.6,74,1002.0
2026-01-16 14:04:19,871,16.6,74,1002.1
2026-01-16 14:09:19,865,16.6,74,1002.1
2026-01-16 14:14:19,861,16.5,74,1002.0
2026-01-16 14:19:19,858,16.5,74,1002.1
2026-01-16 14:24:19,862,16.5,74,1002.1
2026-01-16 14:29:19,850,16.4,74,1002.1
2026-01-16 14:34:19,848,16.5,74,1002.2
2026-01-16 14:39:19,838,16.5,74,1002.2
2026-01-16 14:44:19,851,16.5,74,1002.3
2026-01-16 14:49:19,832,16.5,74,1002.2
2026-01-16 14:54:19,821,16.5,74,1002.1
2026-01-16 14:59:19,815,16.5,74,1002.3
2026-01-16 15:04:19,814,16.5,74,1002.3
2026-01-16 15:09:19,813,16.4,74,1002.3
2026-01-16 15:14:19,806,16.4,74,1002.3
2026-01-16 15:19:19,805,16.4,74,1002.3
2026-01-16 15:24:19,810,16.4,74,1002.3
2026-01-16 15:29:19,802,16.4,74,1002.3
2026-01-16 15:34:19,797,16.4,74,1002.3
2026-01-16 15:39:19,796,16.4,74,1002.4
2026-01-16 15:44:19,781,16.4,74,1002.5
2026-01-16 15:49:19,794,16.4,74,1002.5
2026-01-16 15:54:19,788,16.3,74,1002.5
2026-01-16 15:59:19,793,16.3,74,1002.5
2026-01-16 16:04:19,792,16.3,74,1002.5
2026-01-16 16:09:19,781,16.2,74,1002.4
2026-01-16 16:14:19,789,16.2,74,1002.5
2026-01-16 16:19:19,783,16.1,74,1002.6
2026-01-16 16:24:19,776,16.2,74,1002.7
2026-01-16 16:29:19,784,16.1,74,1002.8
2026-01-16 16:34:19,777,16.1,74,1002.7
2026-01-16 16:39:19,780,16.1,74,1002.8
2026-01-16 16:44:19,759,16.0,74,1002.9
2026-01-16 16:49:19,768,16.0,74,1002.9
2026-01-16 16:54:19,763,16.0,74,1002.8
2026-01-16 16:59:19,771,16.0,74,1003.0
2026-01-16 17:04:19,757,15.9,74,1002.9
2026-01-16 17:09:19,767,15.9,74,1003.0
2026-01-16 17:14:19,755,15.9,74,1002.9
2026-01-16 17:19:19,750,15.9,74,1003.0
2026-01-16 17:24:19,752,15.9,74,1002.9
2026-01-16 17:29:19,752,15.8,74,1002.9
2026-01-16 17:34:19,748,15.8,74,1003.0
2026-01-16 17:39:19,754,15.8,74,1003.0
2026-01-16 17:44:19,750,15.8,74,1003.1
2026-01-16 17:49:19,742,15.8,74,1003.1
2026-01-16 17:54:19,735,15.7,74,1003.0
2026-01-16 17:59:19,738,15.7,74,1003.0
2026-01-16 18:04:19,730,15.7,74,1003.1
2026-01-16 18:09:19,733,15.7,74,1003.2
2026-01-16 18:14:19,722,15.7,74,1003.1
2026-01-16 18:19:19,718,15.7,74,1003.3
2026-01-16 18:24:19,719,15.7,74,1003.3
2026-01-16 18:29:19,722,15.7,74,1003.3
2026-01-16 18:34:19,725,15.7,74,1003.4
2026-01-16 18:39:19,713,15.7,74,1003.5
2026-01-16 18:44:19,710,15.7,74,1003.5
2026-01-16 18:49:19,706,15.6,74,1003.3
2026-01-16 18:54:19,711,15.6,74,1003.4
2026-01-16 18:59:19,706,15.7,74,1003.3
2026-01-16 19:04:19,704,15.6,74,1003.4
2026-01-16 19:09:19,708,15.6,74,1003.3
2026-01-16 19:14:19,697,15.6,74,1003.3
2026-01-16 19:19:19,719,15.6,74,1003.4
2026-01-16 19:24:19,659,15.3,73,1003.5
2026-01-16 19:29:19,662,15.4,74,1003.5
2026-01-16 19:34:19,662,16.0,74,1003.5
2026-01-16 19:39:19,667,16.6,73,1003.5
2026-01-16 19:44:19,697,17.0,73,1003.5
2026-01-16 19:49:19,681,17.4,71,1003.6
2026-01-16 19:54:19,713,17.8,71,1003.6
2026-01-16 19:59:19,719,18.0,70,1003.7
2026-01-16 20:04:19,716,18.2,70,1003.7
2026-01-16 20:09:19,745,18.4,70,1003.7
2026-01-16 20:14:19,732,18.7,69,1003.7
2026-01-16 20:19:19,711,18.8,68,1003.7
2026-01-16 20:24:19,728,19.0,68,1003.7
2026-01-16 20:29:19,699,19.3,67,1003.6
2026-01-16 20:34:19,750,19.4,67,1003.7
2026-01-16 20:39:19,652,19.5,64,1003.7
2026-01-16 20:44:19,699,19.1,65,1003.7
2026-01-16 20:49:19,645,18.9,63,1003.7
2026-01-16 20:54:19,682,18.6,64,1003.7
2026-01-16 20:59:19,728,18.8,67,1003.8
2026-01-16 21:04:19,757,19.2,67,1003.8
2026-01-16 21:09:19,746,19.3,66,1003.7
2026-01-16 21:14:19,799,19.6,66,1003.7
2026-01-16 21:19:19,775,19.9,65,1003.8
2026-01-16 21:24:19,728,19.9,62,1003.7
2026-01-16 21:29:19,748,19.7,64,1003.8
2026-01-16 21:34:19,740,19.8,62,1003.8
2026-01-16 21:39:19,741,19.7,62,1003.8
2026-01-16 21:44:19,775,19.6,64,1003.8
2026-01-16 21:49:19,717,19.3,61,1003.8
2026-01-16 21:54:19,746,18.9,64,1003.8
2026-01-16 21:59:19,848,18.9,66,1003.8
2026-01-16 22:04:19,833,19.2,66,1003.8
2026-01-16 22:09:19,828,19.2,65,1003.7
2026-01-16 22:14:19,770,19.2,64,1003.8
2026-01-16 22:19:19,772,19.2,64,1003.9
2026-01-16 22:24:19,787,19.4,64,1003.9
2026-01-16 22:29:19,798,19.1,64,1003.9
2026-01-16 22:34:19,769,18.9,64,1003.8
2026-01-16 22:39:19,777,18.7,65,1003.8
2026-01-16 22:44:19,759,18.8,64,1003.8
2026-01-16 22:49:19,744,18.6,64,1003.8
2026-01-16 22:54:19,798,18.6,65,1003.8
2026-01-16 22:59:19,754,18.4,65,1003.9
2026-01-16 23:04:19,770,18.4,65,1003.8
2026-01-16 23:09:19,787,18.3,66,1003.9
2026-01-16 23:14:19,797,18.3,66,1003.9
2026-01-16 23:19:19,769,18.3,66,1003.8
2026-01-16 23:24:19,751,18.3,64,1003.8
2026-01-16 23:29:19,779,18.1,65,1003.8
2026-01-16 23:34:19,809,18.1,66,1003.8
2026-01-16 23:39:19,772,18.0,66,1003.8
2026-01-16 23:44:19,834,18.1,67,1003.8
2026-01-16 23:49:19,762,18.1,66,1004.0
2026-01-16 23:54:19,797,17.9,66,1003.9
