Time2(DD/MM/YYYY H:mm:ss),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
"22/01/2026 11:57:27","677","20.0","52","981.2"
"22/01/2026 12:02:27","646","20.0","52","981.1"
"22/01/2026 12:07:27","639","20.0","52","981.0"
"22/01/2026 12:12:27","631","19.9","52","981.0"
"22/01/2026 12:17:27","629","19.7","52","980.9"
"22/01/2026 12:22:27","608","19.7","52","980.9"
"22/01/2026 12:27:27","597","19.6","52","980.8"
"22/01/2026 12:32:27","584","19.5","53","980.7"
"22/01/2026 12:37:27","596","19.5","53","980.8"
"22/01/2026 12:42:27","574","19.4","53","980.6"
"22/01/2026 12:47:27","576","19.4","53","980.5"
"22/01/2026 12:52:27","569","19.3","53","980.6"
"22/01/2026 12:57:27","573","19.3","53","980.6"
"22/01/2026 13:02:27","570","19.3","53","980.5"
"22/01/2026 13:07:27","602","19.4","53","980.4"
"22/01/2026 13:12:27","630","19.6","53","980.3"
"22/01/2026 13:17:27","638","19.8","52","980.3"
"22/01/2026 13:22:27","624","19.8","52","980.3"
"22/01/2026 13:27:27","653","20.0","52","980.3"
"22/01/2026 13:32:27","653","20.1","52","980.2"
"22/01/2026 13:37:27","675","20.2","52","980.2"
"22/01/2026 13:42:27","644","20.3","52","980.1"
"22/01/2026 13:47:27","671","20.4","52","980.1"
"22/01/2026 13:52:27","646","20.4","51","980.0"
"22/01/2026 13:57:27","646","20.5","51","980.0"
"22/01/2026 14:02:27","648","20.6","51","979.9"
"22/01/2026 14:07:27","641","20.6","51","980.0"
"22/01/2026 14:12:27","631","20.6","51","979.9"
"22/01/2026 14:17:27","629","20.5","51","979.8"
"22/01/2026 14:22:27","652","20.6","51","979.9"
"22/01/2026 14:27:27","694","20.7","51","979.8"
"22/01/2026 14:32:27","707","20.7","51","979.7"
"22/01/2026 14:37:27","683","20.8","51","979.7"
"22/01/2026 14:42:27","650","20.8","51","979.6"
"22/01/2026 14:47:27","662","20.9","51","979.6"
"22/01/2026 14:52:27","647","21.0","50","979.5"
"22/01/2026 14:57:27","657","21.0","50","979.4"
"22/01/2026 15:02:27","659","21.0","50","979.3"
"22/01/2026 15:07:27","678","21.0","50","979.3"
"22/01/2026 15:12:27","686","21.1","50","979.3"
"22/01/2026 15:17:27","693","21.1","50","979.3"
"22/01/2026 15:22:27","689","21.1","50","979.3"
"22/01/2026 15:27:27","731","21.1","50","979.1"
"22/01/2026 15:32:27","770","21.2","50","979.2"
"22/01/2026 15:37:27","818","21.2","51","979.0"
"22/01/2026 15:42:27","865","21.2","51","979.0"
"22/01/2026 15:47:27","936","21.2","51","978.9"
"22/01/2026 15:52:27","996","21.2","51","978.9"
"22/01/2026 15:57:27","1013","21.2","51","978.8"
"22/01/2026 16:02:27","954","21.2","51","979.0"
"22/01/2026 16:07:27","874","21.2","51","979.0"
"22/01/2026 16:12:27","834","21.3","51","978.8"
"22/01/2026 16:17:27","816","21.4","51","978.8"
"22/01/2026 16:22:27","811","21.4","51","978.9"
"22/01/2026 16:27:27","757","21.4","50","979.0"
"22/01/2026 16:32:27","710","21.5","50","978.8"
"22/01/2026 16:37:27","696","21.4","50","979.0"
"22/01/2026 16:42:27","695","21.5","50","978.9"
"22/01/2026 16:47:27","710","21.4","50","978.9"
"22/01/2026 16:52:27","705","21.2","50","978.9"
"22/01/2026 16:57:27","671","21.1","50","978.9"
"22/01/2026 17:02:27","685","21.0","50","978.9"
"22/01/2026 17:07:27","663","20.9","50","979.0"
"22/01/2026 17:12:27","662","20.8","50","978.8"
"22/01/2026 17:17:27","658","20.8","50","978.9"
"22/01/2026 17:22:27","663","20.8","50","978.9"
"22/01/2026 17:27:27","657","20.7","51","978.9"
"22/01/2026 17:32:27","667","20.7","51","978.8"
"22/01/2026 17:37:27","650","20.6","51","978.9"
"22/01/2026 17:42:27","682","20.6","51","978.8"
"22/01/2026 17:47:27","684","20.5","51","978.8"
"22/01/2026 17:52:27","663","20.5","51","978.8"
"22/01/2026 17:57:27","672","20.4","51","978.8"
"22/01/2026 18:02:27","654","20.4","51","978.7"
"22/01/2026 18:07:27","652","20.4","51","978.8"
"22/01/2026 18:12:27","625","20.4","51","978.7"
"22/01/2026 18:17:27","625","20.3","51","978.8"
"22/01/2026 18:22:27","625","20.2","51","978.8"
"22/01/2026 18:27:27","621","20.2","51","978.8"
"22/01/2026 18:32:27","598","20.1","51","978.8"
"22/01/2026 18:37:27","585","20.0","51","978.8"
"22/01/2026 18:42:27","567","19.9","51","978.7"
"22/01/2026 18:47:27","559","19.9","51","978.7"
"22/01/2026 18:52:27","569","19.8","51","978.7"
"22/01/2026 18:57:27","565","19.8","51","978.7"
"22/01/2026 19:02:27","554","19.8","51","978.5"
"22/01/2026 19:07:27","559","19.7","51","978.6"
"22/01/2026 19:12:27","558","19.6","51","978.6"
"22/01/2026 19:17:27","541","19.6","51","978.6"
"22/01/2026 19:22:27","547","19.6","51","978.6"
"22/01/2026 19:27:27","540","19.5","51","978.6"
"22/01/2026 19:32:27","529","19.4","51","978.6"
"22/01/2026 19:37:27","534","19.4","51","978.6"
"22/01/2026 19:42:27","526","19.3","51","978.6"
"22/01/2026 19:47:27","507","19.3","51","978.6"
"22/01/2026 19:52:27","528","19.2","51","978.6"
"22/01/2026 19:57:27","520","19.2","51","978.7"
"22/01/2026 20:02:27","518","19.2","51","978.8"
"22/01/2026 20:07:27","505","19.1","51","979.0"
"22/01/2026 20:12:27","508","19.1","51","979.0"
"22/01/2026 20:17:27","511","19.1","51","979.1"
"22/01/2026 20:22:27","509","19.1","51","979.1"
"22/01/2026 20:27:27","511","19.0","51","979.2"
"22/01/2026 20:32:27","512","18.9","51","979.2"
"22/01/2026 20:37:27","508","18.9","51","979.3"
"22/01/2026 20:42:27","512","18.9","51","979.2"
"22/01/2026 20:47:27","510","18.9","51","979.4"
"22/01/2026 20:52:27","505","18.8","51","979.5"
"22/01/2026 20:57:27","504","18.8","50","979.4"
"22/01/2026 21:02:27","494","18.7","50","979.6"
"22/01/2026 21:07:27","496","18.7","50","979.8"
"22/01/2026 21:12:27","508","18.7","50","979.7"
"22/01/2026 21:17:27","505","18.7","50","979.9"
"22/01/2026 21:22:27","494","18.7","50","979.9"
"22/01/2026 21:27:27","499","18.6","50","980.0"
"22/01/2026 21:32:27","505","18.6","50","980.0"
"22/01/2026 21:37:27","512","18.5","50","980.1"
"22/01/2026 21:42:27","510","18.5","50","980.2"
"22/01/2026 21:47:27","505","18.4","50","980.2"
"22/01/2026 21:52:27","494","18.4","50","980.2"
"22/01/2026 21:57:27","489","18.4","50","980.3"
"22/01/2026 22:02:27","485","18.3","50","980.3"
"22/01/2026 22:07:27","488","18.3","50","980.3"
"22/01/2026 22:12:27","496","18.3","50","980.2"
"22/01/2026 22:17:27","502","18.3","50","980.3"
"22/01/2026 22:22:27","496","18.3","50","980.4"
"22/01/2026 22:27:27","496","18.3","50","980.4"
"22/01/2026 22:32:27","487","18.2","50","980.4"
"22/01/2026 22:37:27","495","18.2","50","980.5"
